message,label
"Congratulations! You won a free cash prize. Claim now!",1
"Meeting scheduled at 3 PM today.",0
"Urgent! Your account has been compromised. Verify now.",1
"Let's catch up tomorrow for lunch.",0
"Free coupons available only for today. Click here!",1
"Final reminder: Your loan has been approved.",1
"Your package has been shipped successfully.",0
"Happy birthday! Wishing you a great year ahead.",0
"Exclusive offer!!! Get 70% discount on electronics!",1
"Don't forget to submit the assignment by tonight.",0
"You have been selected for a surprise gift!",1
"Project updates will be discussed in the meeting.",0
"Limited time deal! Buy 1 get 1 free!",1
"Please find the attached report for your review.",0
"Your subscription has been renewed.",0
